AspNetRoles.Id
AspNetRoles.Name
AspNetUserClaims.Id
AspNetUserClaims.UserId
AspNetUserClaims.ClaimType
AspNetUserClaims.ClaimValue
AspNetUserLogins.LoginProvider
AspNetUserLogins.ProviderKey
AspNetUserLogins.UserId
AspNetUserRoles.UserId
AspNetUserRoles.RoleId
AspNetUsers.Id
AspNetUsers.FirstName
AspNetUsers.LastName
AspNetUsers.AlternativeEmail
AspNetUsers.DOB
AspNetUsers.Country
AspNetUsers.State
AspNetUsers.Address
AspNetUsers.Zip
AspNetUsers.AreaOfInterest
AspNetUsers.Qualification
AspNetUsers.IsBlocked
AspNetUsers.Email
AspNetUsers.EmailConfirmed
AspNetUsers.PasswordHash
AspNetUsers.SecurityStamp
AspNetUsers.PhoneNumber
AspNetUsers.PhoneNumberConfirmed
AspNetUsers.TwoFactorEnabled
AspNetUsers.LockoutEndDateUtc
AspNetUsers.LockoutEnabled
AspNetUsers.AccessFailedCount
AspNetUsers.UserName
AspNetUsers.DoctorDesignation
AspNetUsers.DoctorSignaturePath
ClientApplication.Id
ClientApplication.Name
ClientApplication.Description
ClientApplication.AccessKey
ClientApplication.ActivityDate
ClientApplication.ActivityMember
ClientApplication.RefreshTokenLifeTime
ClientApplication.AllowedOrigin
ClientApplication.ModulesAPI
ContainerMaster.Id
ContainerMaster.Code
ContainerMaster.Name
ContainerMaster.Color
ContainerMaster.IsActive
ContainerMaster.CreatedBy
ContainerMaster.CreatedOn
ContainerMaster.ModifiedBy
ContainerMaster.ModifiedOn
ControlResultDetails.Id
ControlResultDetails.LISParamCode
ControlResultDetails.LISParamValue
ControlResultDetails.LISParamUnit
ControlResultDetails.CreatedBy
ControlResultDetails.CreatedOn
ControlResultDetails.ControlResultId
ControlResults.Id
ControlResults.SampleNo
ControlResults.ResultDate
ControlResults.CreatedBy
ControlResults.CreatedOn
ControlResults.EquipmentId
CorporateMaster.Id
CorporateMaster.Code
CorporateMaster.Name
CorporateMaster.Address
CorporateMaster.Phone
CorporateMaster.ContactPerson
CorporateMaster.DefaultDiscountPercent
CorporateMaster.IsActive
CorporateMaster.CreatedBy
CorporateMaster.CreatedOn
CorporateMaster.ModifiedBy
CorporateMaster.ModifiedOn
Department.Code
Department.Name
Department.ProcessingCategory
EquipmentHeartBeat.Id
EquipmentHeartBeat.AccessKey
EquipmentHeartBeat.IsAlive
EquipmentHeartBeat.CreatedBy
EquipmentHeartBeat.CreatedOn
EquipmentMaster.Id
EquipmentMaster.Name
EquipmentMaster.Model
EquipmentMaster.AccessKey
EquipmentMaster.IsActive
EquipmentMaster.CreatedBy
EquipmentMaster.CreatedOn
HISParameterMaster.Id
HISParameterMaster.HISTestCode
HISParameterMaster.HISParamCode
HISParameterMaster.HISParamDescription
HISParameterMaster.HISParamUnit
HISParameterMaster.HISParamMethod
HISParameterMaster.LISParamCode
HISParameterMaster.CreatedOn
HISParameterMaster.HisTestId
HISParameterRangMaster.Id
HISParameterRangMaster.HISRangeCode
HISParameterRangMaster.HISRangeValue
HISParameterRangMaster.Gender
HISParameterRangMaster.AgeFrom
HISParameterRangMaster.AgeTo
HISParameterRangMaster.AgeType
HISParameterRangMaster.MinValue
HISParameterRangMaster.MaxValue
HISParameterRangMaster.CreatedOn
HISParameterRangMaster.HisParameterId
HISSpecimenMaster.Id
HISSpecimenMaster.Code
HISSpecimenMaster.Name
HISSpecimenMaster.IsActive
HISSpecimenMaster.CreatedBy
HISSpecimenMaster.CreatedOn
HISTestMaster.Id
HISTestMaster.HISTestCode
HISTestMaster.HISTestCodeDescription
HISTestMaster.HISSpecimenCode
HISTestMaster.HISSpecimenName
HISTestMaster.CreatedOn
HISTestMaster.CreatedBy
HISTestMaster.IsActive
HISTestMaster.DepartmentCode
MethodMaster.Id
MethodMaster.Code
MethodMaster.Name
MethodMaster.IsActive
MethodMaster.CreatedBy
MethodMaster.CreatedOn
MethodMaster.ModifiedBy
MethodMaster.ModifiedOn
MigrationHistory.Migration_PK
MigrationHistory.ContextKey
MigrationHistory.Model
MigrationHistory.ProductVersion
PatientDetails.Id
PatientDetails.HisPatientId
PatientDetails.Name
PatientDetails.Age
PatientDetails.Gender
PatientDetails.Phone
PatientDetails.IsActive
PatientDetails.DateOfBirth
PatientDetails.CreatedBy
PatientDetails.CreatedOn
PatientDetails.Address
PatientDetails.PatientPrefix
PatientDetails.MRNo
PatientDetails.VisitId
PatientVisit.PatientVisitId
PatientVisit.PatientId
PatientVisit.VisitId
PatientVisit.VisitDateTime
PatientVisit.SaleInvoiceId
PatientVisit.VisitStatus
PatientVisit.CreatedBy
PatientVisit.CreatedOn
PatientVisit.ModifiedBy
PatientVisit.ModifiedOn
PatientVisit.IsActive
RadiologyRequestDetail.Id
RadiologyRequestDetail.PatientId
RadiologyRequestDetail.HISRequestNo
RadiologyRequestDetail.AccessionNo
RadiologyRequestDetail.Modality
RadiologyRequestDetail.HISTestCode
RadiologyRequestDetail.HISTestName
RadiologyRequestDetail.Department
RadiologyRequestDetail.ReportStatus
RadiologyRequestDetail.CreatedBy
RadiologyRequestDetail.CreatedOn
RadiologyRequestDetail.ModifiedBy
RadiologyRequestDetail.ModifiedOn
RadiologyRequestDetail.PatientVisitId
RadiologyResultDetail.Id
RadiologyResultDetail.RadiologyRequestId
RadiologyResultDetail.ClinicalHistory
RadiologyResultDetail.Findings
RadiologyResultDetail.Impression
RadiologyResultDetail.Recommendation
RadiologyResultDetail.AuthorizedBy
RadiologyResultDetail.AuthorizedOn
RadiologyResultDetail.DigitalSignature
RadiologyResultDetail.CreatedBy
RadiologyResultDetail.CreatedOn
RadiologyResultDetail.ModifiedBy
RadiologyResultDetail.ModifiedOn
ReferralDoctorMaster.Id
ReferralDoctorMaster.Code
ReferralDoctorMaster.Name
ReferralDoctorMaster.Phone
ReferralDoctorMaster.Email
ReferralDoctorMaster.Address
ReferralDoctorMaster.IsActive
ReferralDoctorMaster.CreatedBy
ReferralDoctorMaster.CreatedOn
ReferralDoctorMaster.ModifiedBy
ReferralDoctorMaster.ModifiedOn
RefreshTokens.Id
RefreshTokens.Subject
RefreshTokens.ClientId
RefreshTokens.IssuedUtc
RefreshTokens.ExpiresUtc
RefreshTokens.ProtectedTicket
RoleMenuPermission.Id
RoleMenuPermission.RoleId
RoleMenuPermission.ModuleId
RoleMenuPermission.MenuKey
RoleMenuPermission.CanView
RoleMenuPermission.CanAdd
RoleMenuPermission.CanEdit
RoleMenuPermission.CanDelete
RoleMenuPermission.CanAuthorize
RoleMenuPermission.CanReject
RoleMenuPermission.IsActive
RoleMenuPermission.ApplicationId
RoleMenuPermission.CreatedBy
RoleMenuPermission.CreatedOn
RoleMenuPermission.ModifiedBy
RoleMenuPermission.ModifiedOn
RoleModuleMappings.Id
RoleModuleMappings.CanAdd
RoleModuleMappings.CanEdit
RoleModuleMappings.CanAuthorize
RoleModuleMappings.CanDelete
RoleModuleMappings.CanView
RoleModuleMappings.CanReject
RoleModuleMappings.ModuleId
RoleModuleMappings.RoleId
RoleModuleMappings.ApplicationId
SaleInvoice.Id
SaleInvoice.InvoiceNo
SaleInvoice.InvoiceDate
SaleInvoice.InvoiceStatus
SaleInvoice.PaymentStatus
SaleInvoice.RequestDetailId
SaleInvoice.PatientId
SaleInvoice.GrossAmount
SaleInvoice.DiscountAmount
SaleInvoice.TaxAmount
SaleInvoice.NetAmount
SaleInvoice.PaidAmount
SaleInvoice.DueAmount
SaleInvoice.RefDoctorName
SaleInvoice.ReferralDoctorId
SaleInvoice.CorporateId
SaleInvoice.Notes
SaleInvoice.CreatedOn
SaleInvoice.CreatedBy
SaleInvoice.ModifiedOn
SaleInvoice.ModifiedBy
SaleInvoice.IsActive
SaleInvoice.DiscountType
SaleInvoice.DiscountValue
SaleInvoice.PatientVisitId
SaleInvoiceDetail.Id
SaleInvoiceDetail.SaleInvoiceId
SaleInvoiceDetail.TestId
SaleInvoiceDetail.Rate
SaleInvoiceDetail.Quantity
SaleInvoiceDetail.Amount
SaleInvoiceDetail.DiscountAmount
SaleInvoiceDetail.TaxAmount
SaleInvoiceDetail.NetAmount
